id,date,count,created_at,updated_at
1,2025-05-20T00:00:00.000Z,17,2025-05-20T14:34:57.794Z,2025-05-20T14:52:04.023Z
13,2025-05-21T00:00:00.000Z,70,2025-05-20T15:09:57.203Z,2025-05-20T15:09:57.203Z
31,2025-05-22T00:00:00.000Z,7,2025-05-21T15:10:20.924Z,2025-05-21T15:10:20.924Z
33,2025-05-23T00:00:00.000Z,4,2025-05-22T20:13:30.788Z,2025-05-22T20:13:30.788Z
34,2025-05-24T00:00:00.000Z,2,2025-05-24T12:35:48.693Z,2025-05-24T12:35:48.693Z
35,2025-05-26T00:00:00.000Z,18,2025-05-26T01:07:50.471Z,2025-05-26T01:07:50.471Z
36,2025-05-27T00:00:00.000Z,5,2025-05-26T15:18:27.217Z,2025-05-26T15:18:27.217Z
37,2025-05-28T00:00:00.000Z,1,2025-05-27T15:30:34.743Z,2025-05-27T15:30:34.743Z
38,2025-05-29T00:00:00.000Z,1,2025-05-28T22:48:08.656Z,2025-05-28T22:48:08.656Z
39,2025-05-31T00:00:00.000Z,1,2025-05-30T19:07:28.680Z,2025-05-30T19:07:28.680Z
40,2025-06-01T00:00:00.000Z,1,2025-05-31T16:16:32.088Z,2025-05-31T16:16:32.088Z
41,2025-06-02T00:00:00.000Z,4,2025-06-02T02:10:58.867Z,2025-06-02T02:10:58.867Z
42,2025-06-03T00:00:00.000Z,1,2025-06-02T20:23:23.429Z,2025-06-02T20:23:23.429Z
43,2025-06-04T00:00:00.000Z,1,2025-06-04T14:31:53.503Z,2025-06-04T14:31:53.503Z
44,2025-06-06T00:00:00.000Z,1,2025-06-05T15:34:54.947Z,2025-06-05T15:34:54.947Z
45,2025-06-07T00:00:00.000Z,3,2025-06-06T15:23:49.140Z,2025-06-06T15:23:49.140Z
46,2025-06-08T00:00:00.000Z,2,2025-06-07T21:48:50.109Z,2025-06-07T21:48:50.109Z
47,2025-06-09T00:00:00.000Z,3,2025-06-08T15:03:46.090Z,2025-06-08T15:03:46.090Z
48,2025-06-10T00:00:00.000Z,1,2025-06-09T15:02:54.306Z,2025-06-09T15:02:54.306Z
49,2025-06-12T00:00:00.000Z,3,2025-06-12T07:53:13.619Z,2025-06-12T07:53:13.619Z
50,2025-06-16T00:00:00.000Z,1,2025-06-15T16:26:50.610Z,2025-06-15T16:26:50.610Z
51,2025-06-18T00:00:00.000Z,2,2025-06-18T08:17:20.366Z,2025-06-18T08:17:20.366Z
52,2025-06-19T00:00:00.000Z,3,2025-06-18T20:00:10.814Z,2025-06-18T20:00:10.814Z
53,2025-06-21T00:00:00.000Z,1,2025-06-21T05:07:00.503Z,2025-06-21T05:07:00.503Z
54,2025-06-24T00:00:00.000Z,2,2025-06-24T07:49:21.487Z,2025-06-24T07:49:21.487Z
55,2025-08-02T00:00:00.000Z,4,2025-08-02T14:38:16.716Z,2025-08-02T14:38:16.716Z
56,2025-08-03T00:00:00.000Z,11,2025-08-03T00:31:36.523Z,2025-08-03T00:31:36.523Z
57,2025-08-04T00:00:00.000Z,1,2025-08-04T03:56:48.595Z,2025-08-04T03:56:48.595Z
58,2025-08-05T00:00:00.000Z,3,2025-08-04T18:24:59.329Z,2025-08-04T18:24:59.329Z
59,2025-08-07T00:00:00.000Z,4,2025-08-06T15:44:40.631Z,2025-08-06T15:44:40.631Z
60,2025-08-08T00:00:00.000Z,1,2025-08-08T10:30:15.092Z,2025-08-08T10:30:15.092Z
61,2025-08-09T00:00:00.000Z,1,2025-08-09T13:16:40.304Z,2025-08-09T13:16:40.304Z
62,2025-08-10T00:00:00.000Z,3,2025-08-10T10:41:20.548Z,2025-08-10T10:41:20.548Z
63,2025-08-13T00:00:00.000Z,3,2025-08-12T22:11:44.468Z,2025-08-12T22:11:44.468Z
64,2025-08-14T00:00:00.000Z,4,2025-08-14T04:32:27.910Z,2025-08-14T04:32:27.910Z
65,2025-08-15T00:00:00.000Z,4,2025-08-15T03:28:36.628Z,2025-08-15T03:28:36.628Z
66,2025-08-17T00:00:00.000Z,3,2025-08-17T09:38:51.898Z,2025-08-17T09:38:51.898Z
67,2025-08-18T00:00:00.000Z,1,2025-08-18T04:10:58.871Z,2025-08-18T04:10:58.871Z
68,2025-08-20T00:00:00.000Z,41,2025-08-19T15:06:51.362Z,2025-08-19T15:06:51.362Z
69,2025-08-21T00:00:00.000Z,3,2025-08-20T15:39:41.041Z,2025-08-20T15:39:41.041Z
